,Quarter,Tm,Detail,DEN,SDG
0,1.0,Broncos,Rich Karlis 30 yard field goal,3,0
1,1.0,Broncos,Rich Karlis 43 yard field goal,6,0
2,3.0,Broncos,Rich Karlis 30 yard field goal,9,0
3,4.0,Broncos,Rich Karlis 28 yard field goal,12,0
