,Quarter,Tm,Detail,OAK,DEN
0,2.0,Broncos,Jim Turner 21 yard field goal,0,3
1,2.0,Broncos,Haven Moses 11 yard pass from Steve Ramsey (Jim Turner kick),0,10
2,2.0,Raiders,Fred Steinfort 34 yard field goal,3,10
3,3.0,Raiders,Cliff Branch 46 yard pass from Ken Stabler (Fred Steinfort kick),10,10
4,3.0,Raiders,Pete Banaszak 1 yard rush (Fred Steinfort kick),17,10
