,Quarter,Tm,Detail,CHI,DET
0,1.0,Lions,Eddie Murray 21 yard field goal,0,3
1,1.0,Lions,Robert Clark 9 yard pass from Erik Kramer (Eddie Murray kick),0,10
2,2.0,Bears,Kevin Butler 27 yard field goal,3,10
3,2.0,Bears,Kevin Butler 22 yard field goal,6,10
4,3.0,Lions,Eddie Murray 50 yard field goal,6,13
5,4.0,Lions,Eddie Murray 37 yard field goal,6,16
