,Quarter,Tm,Detail,PHO,WAS
0,1.0,Cardinals,Johnny Bailey 58 yard punt return (Greg Davis kick),7,0
1,1.0,Cardinals,Greg Davis 53 yard field goal,10,0
2,2.0,Cardinals,Ronald Moore 18 yard rush (Greg Davis kick),17,0
3,3.0,Redskins,Ricky Sanders 9 yard pass from Cary Conklin (Chip Lohmiller kick),17,7
4,4.0,Redskins,Chip Lohmiller 23 yard field goal,17,10
