,Quarter,Tm,Detail,CHI,TAM
0,1.0,Buccaneers,Mark Carrier 11 yard pass from Vinny Testaverde (Donald Igwebuike kick),0,7
1,1.0,Buccaneers,William Howard 1 yard rush (Donald Igwebuike kick),0,14
2,2.0,Buccaneers,William Harris 3 yard pass from Vinny Testaverde (Donald Igwebuike kick),0,21
3,2.0,Bears,Neal Anderson 5 yard rush (Kevin Butler kick),7,21
4,2.0,Buccaneers,Bruce Hill 22 yard pass from Vinny Testaverde (Donald Igwebuike kick),7,28
5,2.0,Bears,Neal Anderson 1 yard rush (Kevin Butler kick),14,28
6,3.0,Bears,Thomas Sanders 16 yard pass from Mike Tomczak (Kevin Butler kick),21,28
7,4.0,Buccaneers,Lars Tate 16 yard rush (Donald Igwebuike kick),21,35
8,4.0,Buccaneers,Lars Tate 4 yard rush (Chris Mohr run),21,42
9,4.0,Bears,Jim Harbaugh 26 yard rush (Kevin Butler kick),28,42
10,4.0,Bears,Neal Anderson 1 yard rush (Kevin Butler kick),35,42
