,Quarter,Time,Tm,Detail,DET,TAM
0,1.0,9:15,Lions,Jason Hanson 37 yard field goal,3,0
1,1.0,0:52,Lions,Greg Hill 10 yard rush (Jason Hanson kick),10,0
2,2.0,1:34,Buccaneers,Kevin McLeod 3 yard pass from Shaun King (Martin Gramatica kick),10,7
3,3.0,13:08,Buccaneers,"Safety, Culpepper sacked Frerotte in end zone",10,9
4,3.0,5:28,Lions,Jason Hanson 25 yard field goal,13,9
5,4.0,14:11,Lions,Jason Hanson 27 yard field goal,16,9
6,4.0,9:26,Buccaneers,Mike Alstott 1 yard rush (Martin Gramatica kick),16,16
7,4.0,4:18,Buccaneers,Mike Alstott 22 yard pass from Shaun King (Martin Gramatica kick),16,23
