,Quarter,Time,Tm,Detail,MIN,ATL
0,2.0,13:54,Vikings,Cris Carter 2 yard pass from Randall Cunningham (Gary Anderson kick),7,0
1,2.0,10:23,Vikings,Gary Anderson 36 yard field goal,10,0
2,2.0,1:48,Vikings,Leroy Hoard 1 yard rush (Gary Anderson kick),17,0
3,2.0,0:43,Falcons,Chris Calloway 23 yard pass from Chris Chandler (Morten Andersen kick),17,7
4,4.0,13:18,Falcons,Bob Christian 1 yard rush (Morten Andersen kick),17,14
