,Quarter,Tm,Detail,NYG,DEN
0,1.0,Broncos,Reggie Rivers 2 yard rush (David Treadwell kick),0,7
1,1.0,Broncos,Mark Jackson 51 yard pass from John Elway (David Treadwell kick),0,14
2,2.0,Giants,Matt Bahr 30 yard field goal,3,14
3,2.0,Giants,Matt Bahr 38 yard field goal,6,14
4,3.0,Broncos,David Treadwell 25 yard field goal,6,17
5,4.0,Broncos,David Treadwell 46 yard field goal,6,20
6,4.0,Giants,Jeff Hostetler 5 yard rush (Matt Bahr kick),13,20
7,4.0,Broncos,Greg Lewis 2 yard rush (David Treadwell kick),13,27
