,Quarter,Tm,Detail,PHI,NOR
0,2.0,Eagles,Harold Carmichael 5 yard pass from Roman Gabriel (Tom Dempsey kick),7,0
1,3.0,Saints,Archie Manning 4 yard rush (Bill McClard kick),7,7
2,3.0,Eagles,Tom Dempsey 18 yard field goal,10,7
3,4.0,Saints,Jess Phillips 3 yard rush (Bill McClard kick),10,14
