,Quarter,Tm,Detail,CLE,WAS
0,1.0,Redskins,Hugh Taylor 18 yard pass from Al Dorow (Ralph Felton kick),0,7
1,1.0,Browns,Maurice Bassett 5 yard rush (Lou Groza kick),7,7
2,2.0,Browns,Ken Konz 25 yard interception return (Lou Groza kick),14,7
3,2.0,Browns,Lou Groza 9 yard field goal,17,7
4,3.0,Browns,Maurice Bassett 1 yard rush (Lou Groza kick),24,7
5,3.0,Browns,Lou Groza 30 yard field goal,27,7
6,4.0,Browns,George Ratterman 1 yard rush (Lou Groza kick),34,7
7,4.0,Redskins,Charlie Justice 80 yard pass from Al Dorow (Ralph Felton kick),34,14
