,Quarter,Tm,Detail,CIN,PIT
0,2.0,Steelers,Rocky Bleier 1 yard rush (Roy Gerela kick),0,7
1,2.0,Steelers,Rocky Bleier 2 yard rush,0,13
2,2.0,Bengals,Glenn Bujnoch 4 yard rush (Chris Bahr kick),7,13
3,4.0,Steelers,Sidney Thornton 1 yard rush (Roy Gerela kick),7,20
4,4.0,Bengals,Reggie Williams special teams fumble recovery in end zone (Chris Bahr kick),14,20
