,Quarter,Tm,Detail,IND,MIA
0,1.0,Dolphins,Fuad Reveiz 22 yard field goal,0,3
1,2.0,Dolphins,Fuad Reveiz 25 yard field goal,0,6
2,2.0,Colts,Pat Beach 2 yard pass from Mike Pagel (Raul Allegre kick),7,6
3,2.0,Dolphins,Mark Clayton 6 yard pass from Dan Marino (Fuad Reveiz kick),7,13
4,3.0,Dolphins,Fuad Reveiz 40 yard field goal,7,16
5,4.0,Dolphins,Tony Nathan 21 yard rush (Fuad Reveiz kick),7,23
6,4.0,Dolphins,Nat Moore 1 yard pass from Dan Marino (Fuad Reveiz kick),7,30
7,4.0,Colts,George Wonsley 1 yard rush,13,30
