,Quarter,Tm,Detail,MIL,CRD
0,1.0,Cardinals,Arnie Horween 14 yard field goal,0,3
1,2.0,Badgers,Jimmy Conzelman 50 yard pass from Bo McMillin (Ben Winkelman kick),7,3
2,3.0,Badgers,Ben Winkelman 50 yard pass from Jimmy Conzelman (Ben Winkelman kick),14,3
3,4.0,Cardinals,Eddie Anderson 10 yard pass from Arnie Horween (Arnie Horween kick),14,10
4,4.0,Cardinals,"Safety,",14,12
