,Quarter,Time,Tm,Detail,DAL,MIN
0,2.0,11:21,Cowboys,Richie Cunningham 39 yard field goal,3,0
1,2.0,6:21,Cowboys,Emmitt Smith 63 yard rush (Richie Cunningham kick),10,0
2,2.0,6:03,Cowboys,Emmitt Smith 24 yard rush (Richie Cunningham kick),17,0
3,2.0,1:53,Vikings,Randy Moss 4 yard pass from Jeff George (Gary Anderson kick),17,7
4,3.0,10:29,Vikings,Gary Anderson 31 yard field goal,17,10
5,3.0,4:40,Vikings,Gary Anderson 40 yard field goal,17,13
6,4.0,13:38,Vikings,Cris Carter 4 yard pass from Jeff George (Gary Anderson kick),17,20
7,4.0,5:10,Vikings,Randy Moss 47 yard pass from Jeff George (Gary Anderson kick),17,27
