,Quarter,Tm,Detail,CLE,SDG
0,1,Chargers,Jesse Bendross 54 yard pass from Dan Fouts (Bob Thomas kick),0,7
1,2,Browns,Kevin Mack 10 yard rush (Matt Bahr kick),7,7
2,3,Browns,Earnest Byner 11 yard pass from Gary Danielson (Matt Bahr kick),14,7
3,4,Browns,Kevin Mack 10 yard pass from Gary Danielson (Matt Bahr kick),21,7
