,Quarter,Time,Tm,Detail,BUF,PIT
0,1.0,,Steelers,Gary Anderson 39 yard field goal,0,3
1,1.0,,Steelers,Rod Woodson 37 yard interception return (Gary Anderson kick),0,10
2,2.0,,Steelers,Gary Anderson 39 yard field goal,0,13
3,2.0,,Bills,Steve Christie 52 yard field goal,3,13
4,2.0,,Steelers,Gary Anderson 30 yard field goal,3,16
5,3.0,,Bills,Andre Reed 19 yard pass from Jim Kelly (Steve Christie kick),10,16
6,3.0,,Steelers,Gerald Williams defensive fumble recovery in end zone (Gary Anderson kick),10,23
