,Quarter,Time,Tm,Detail,NWE,DEN
0,1.0,,Broncos,Terrell Davis 2 yard rush (Scott Bentley kick),0,7
1,1.0,3:57,Broncos,John Mobley 13 yard interception return (Scott Bentley kick),0,14
2,2.0,3:51,Patriots,Keith Byars 44 yard pass from Drew Bledsoe (Adam Vinatieri kick),7,14
3,2.0,3:51,Patriots,Adam Vinatieri 26 yard field goal,10,14
4,2.0,3:51,Patriots,Adam Vinatieri 49 yard field goal,13,14
5,3.0,3:51,Broncos,John Elway 1 yard rush (Scott Bentley kick),13,21
6,3.0,3:51,Broncos,Scott Bentley 21 yard field goal,13,24
7,3.0,3:51,Broncos,Terrell Davis 1 yard rush (Scott Bentley kick),13,31
8,4.0,3:51,Broncos,Scott Bentley 33 yard field goal,13,34
