,Quarter,Time,Tm,Detail,NYG,KAN
0,1,,Giants,Chris Calloway 26 yard pass from Dave Brown (Brad Daluiso kick),7,0
1,1,,Chiefs,Lin Elliott 42 yard field goal,7,3
2,2,,Giants,Brad Daluiso 23 yard field goal,10,3
3,4,10:56,Giants,Tito Wooten 1 yard defensive fumble return (Brad Daluiso kick),17,3
4,4,10:56,Chiefs,Marcus Allen 1 yard rush (Lin Elliott kick),17,10
5,4,10:56,Chiefs,Danan Hughes 3 yard pass from Steve Bono (Lin Elliott kick),17,17
6,OT,10:56,Chiefs,Lin Elliott 23 yard field goal,17,20
