,Quarter,Time,Tm,Detail,SDG,PIT
0,1.0,,Steelers,John Williams 16 yard pass from Neil O'Donnell (Gary Anderson kick),0,7
1,2.0,,Chargers,John Carney 20 yard field goal,3,7
2,2.0,,Steelers,Gary Anderson 39 yard field goal,3,10
3,3.0,,Steelers,Gary Anderson 23 yard field goal,3,13
4,3.0,,Chargers,Alfred Pupunu 43 yard pass from Stan Humphries (John Carney kick),10,13
5,4.0,,Chargers,Tony Martin 43 yard pass from Stan Humphries (John Carney kick),17,13
