,Quarter,Tm,Detail,LOU,CAN
0,1.0,Bulldogs,Candy Miller 10 yard rush,0,6
1,2.0,Bulldogs,Arda Bowser 16 yard rush,0,12
2,2.0,Bulldogs,Ed Shaw unknown yard rush (Arda Bowser kick),0,19
3,3.0,Bulldogs,Norb Sacksteder unknown yard rush,0,25
4,4.0,Bulldogs,Guy Chamberlin 25 yard rush,0,31
5,4.0,Bulldogs,Arda Bowser unknown yard rush (Arda Bowser kick),0,38
