,Quarter,Tm,Detail,DAL,DET
0,1.0,Lions,Eddie Murray 34 yard field goal,0,3
1,1.0,Lions,Jeff Chadwick 21 yard pass from Eric Hipple (Eddie Murray kick),0,10
2,2.0,Lions,Eddie Murray 46 yard field goal,0,13
3,3.0,Lions,Eric Hipple 1 yard rush,0,19
4,3.0,Lions,James Jones 2 yard rush (Eddie Murray kick),0,26
5,4.0,Cowboys,Tony Hill 11 yard pass from Gary Hogeboom (Rafael Septien kick),7,26
6,4.0,Cowboys,Tony Hill 44 yard pass from Gary Hogeboom (Rafael Septien kick),14,26
7,4.0,Cowboys,Gary Hogeboom 2 yard rush (Rafael Septien kick),21,26
