,Quarter,Tm,Detail,DAL,PHO
0,1.0,Cowboys,Derrick Lassic 8 yard rush (Eddie Murray kick),7,0
1,2.0,Cowboys,Eddie Murray 23 yard field goal,10,0
2,3.0,Cowboys,Derrick Lassic 2 yard rush (Eddie Murray kick),17,0
3,3.0,Cardinals,Ricky Proehl 12 yard pass from Steve Beuerlein (Greg Davis kick),17,7
4,4.0,Cardinals,Greg Davis 20 yard field goal,17,10
