,Quarter,Tm,Detail,NYG,PIT
0,2.0,Pirates,Swede Johnston 1 yard rush (Armand Niccolai kick),0,7
1,3.0,Giants,Ward Cuff 20 yard pass from Ed Danowski (Ward Cuff kick),7,7
2,3.0,Giants,Ward Cuff 5 yard pass from Ed Danowski (Ward Cuff kick),14,7
