,Quarter,Tm,Detail,PHI,STL
0,1.0,Eagles,Mike Quick 38 yard pass from Herman Hunter (Paul McFadden kick),7,0
1,1.0,Eagles,Mike Quick 5 yard pass from Ron Jaworski (Paul McFadden kick),14,0
2,2.0,Cardinals,Stump Mitchell 3 yard rush (Novo Bojovic kick),14,7
3,2.0,Cardinals,Stump Mitchell 1 yard rush (Novo Bojovic kick),14,14
4,4.0,Eagles,Paul McFadden 20 yard field goal,17,14
5,4.0,Eagles,Earnest Jackson 51 yard rush (Paul McFadden kick),24,14
