,Quarter,Tm,Detail,ATL,DAL
0,1.0,Falcons,Mick Luckhurst 47 yard field goal,3,0
1,2.0,Cowboys,Thornton Chandler 4 yard pass from Danny White (Rafael Septien kick),3,7
2,2.0,Falcons,Mick Luckhurst 33 yard field goal,6,7
3,2.0,Falcons,Mike Pitts 22 yard defensive fumble return (Mick Luckhurst kick),13,7
4,2.0,Cowboys,Timmy Newsome 2 yard rush (Rafael Septien kick),13,14
5,2.0,Cowboys,Timmy Newsome 2 yard pass from Danny White (Rafael Septien kick),13,21
6,3.0,Falcons,Ken Whisenhunt 18 yard pass from David Archer (Mick Luckhurst kick),20,21
7,3.0,Falcons,Bobby Butler 33 yard interception return (Mick Luckhurst kick),27,21
8,3.0,Cowboys,Tony Hill 7 yard pass from Danny White (Rafael Septien kick),27,28
9,4.0,Cowboys,Mike Sherrard 22 yard pass from Danny White (Rafael Septien kick),27,35
10,4.0,Falcons,Gerald Riggs 2 yard rush (Mick Luckhurst kick),34,35
11,4.0,Falcons,Mick Luckhurst 18 yard field goal,37,35
