,Quarter,Tm,Detail,RAM,SFO
0,1.0,49ers,Mike Cofer 22 yard field goal,0,3
1,2.0,Rams,Robert Delpino 1 yard rush (Tony Zendejas kick),7,3
2,2.0,Rams,Tony Zendejas 22 yard field goal,10,3
3,2.0,49ers,John Taylor 12 yard pass from Steve Young (Mike Cofer kick),10,10
4,3.0,49ers,Mike Cofer 47 yard field goal,10,13
5,4.0,49ers,Jerry Rice 62 yard pass from Steve Young (Mike Cofer kick),10,20
6,4.0,49ers,Harry Sydney 25 yard rush (Mike Cofer kick),10,27
