,Quarter,Tm,Detail,BOS,PIT
0,2.0,Steelers,Steve Lach 1 yard rush,0,6
1,2.0,Steelers,Steve Lach 5 yard rush (Bill Dudley kick),0,13
2,2.0,Steelers,Bill Dudley 34 yard field goal,0,16
3,4.0,Yanks,Nick Scollard 6 yard fumble return (Nick Scollard kick),7,16
