,Quarter,Time,Tm,Detail,CIN,BAL
0,1.0,10:55,Bengals,Tyler Kroft 1 yard pass from Andy Dalton (Randy Bullock kick),7,0
1,2.0,11:13,Ravens,Justin Tucker 46 yard field goal,7,3
2,2.0,4:14,Bengals,Tyler Kroft 5 yard pass from Andy Dalton (Randy Bullock kick),14,3
3,2.0,0:23,Bengals,Randy Bullock 32 yard field goal,17,3
4,2.0,0:04,Ravens,Chris Moore 6 yard pass from Joe Flacco (Justin Tucker kick),17,10
5,3.0,10:17,Bengals,Darqueze Dennard 89 yard interception return (Randy Bullock kick),24,10
6,3.0,6:16,Ravens,Alex Collins 17 yard rush (Justin Tucker kick),24,17
7,4.0,13:08,Ravens,Justin Tucker 34 yard field goal,24,20
8,4.0,8:48,Ravens,Mike Wallace 6 yard pass from Joe Flacco (Justin Tucker kick),24,27
9,4.0,0:44,Bengals,Tyler Boyd 49 yard pass from Andy Dalton (Randy Bullock kick),31,27
