,Quarter,Tm,Detail,DET,NYG
0,1.0,Giants,Jim Lee Howell 42 yard pass from Tuffy Leemans (Ward Cuff kick),0,7
1,2.0,Lions,Steve Belichick 8 yard rush,6,7
2,2.0,Giants,Andy Marefos 11 yard field goal,6,10
3,3.0,Giants,Ward Cuff 30 yard field goal,6,13
4,4.0,Giants,Tuffy Leemans 2 yard rush (Ward Cuff kick),6,20
5,4.0,Lions,Steve Belichick 8 yard rush (Augie Lio kick),13,20
