,Quarter,Time,Tm,Detail,SEA,NWE
0,2.0,9:47,Patriots,Brandon LaFell 11 yard pass from Tom Brady (Stephen Gostkowski kick),0,7
1,2.0,2:16,Seahawks,Marshawn Lynch 3 yard rush (Stephen Hauschka kick),7,7
2,2.0,0:31,Patriots,Rob Gronkowski 22 yard pass from Tom Brady (Stephen Gostkowski kick),7,14
3,2.0,0:02,Seahawks,Chris Matthews 11 yard pass from Russell Wilson (Stephen Hauschka kick),14,14
4,3.0,11:09,Seahawks,Stephen Hauschka 27 yard field goal,17,14
5,3.0,4:54,Seahawks,Doug Baldwin 3 yard pass from Russell Wilson (Stephen Hauschka kick),24,14
6,4.0,7:55,Patriots,Danny Amendola 4 yard pass from Tom Brady (Stephen Gostkowski kick),24,21
7,4.0,2:02,Patriots,Julian Edelman 3 yard pass from Tom Brady (Stephen Gostkowski kick),24,28
