,Quarter,Time,Tm,Detail,PHI,NYG
0,1.0,5:53,Giants,Brad Daluiso 40 yard field goal,0,3
1,3.0,3:42,Giants,Gary Brown 4 yard rush (Brad Daluiso kick),0,10
2,4.0,11:59,Giants,Brad Daluiso 49 yard field goal,0,13
3,4.0,2:52,Giants,Tiki Barber 8 yard pass from Kent Graham (Brad Daluiso kick),0,20
