,Quarter,Time,Tm,Detail,GNB,DEN
0,1.0,,Packers,Antonio Freeman 22 yard pass from Brett Favre (Ryan Longwell kick),7,0
1,1.0,,Broncos,Terrell Davis 1 yard rush (Jason Elam kick),7,7
2,2.0,4:49,Broncos,John Elway 1 yard rush (Jason Elam kick),7,14
3,2.0,4:49,Broncos,Jason Elam 51 yard field goal,7,17
4,2.0,4:49,Packers,Mark Chmura 6 yard pass from Brett Favre (Ryan Longwell kick),14,17
5,3.0,4:49,Packers,Ryan Longwell 27 yard field goal,17,17
6,3.0,4:49,Broncos,Terrell Davis 1 yard rush (Jason Elam kick),17,24
7,4.0,4:49,Packers,Antonio Freeman 13 yard pass from Brett Favre (Ryan Longwell kick),24,24
8,4.0,4:49,Broncos,Terrell Davis 1 yard rush (Jason Elam kick),24,31
