,Quarter,Time,Tm,Detail,WAS,DAL
0,1,9:48,Redskins,Kai Forbath 44 yard field goal,3,0
1,2,4:45,Cowboys,Dez Bryant 5 yard pass from Tony Romo (Dan Bailey kick),3,7
2,3,9:51,Redskins,Alfred Morris 5 yard rush (Kai Forbath kick),10,7
3,3,4:03,Cowboys,Dan Bailey 21 yard field goal,10,10
4,4,13:38,Redskins,Colt McCoy 7 yard rush (Kai Forbath kick),17,10
5,4,9:27,Cowboys,Jason Witten 25 yard pass from Brandon Weeden (Dan Bailey kick),17,17
6,OT,9:43,Redskins,Kai Forbath 40 yard field goal,20,17
