,Quarter,Tm,Detail,CLE,DEN
0,1.0,Broncos,Rick Upchurch 73 yard punt return (Jim Turner kick),0,7
1,1.0,Broncos,Otis Armstrong 1 yard rush (Jim Turner kick),0,14
2,1.0,Broncos,Jim Turner 47 yard field goal,0,17
3,2.0,Browns,Oscar Roan 5 yard pass from Brian Sipe (Don Cockroft kick),7,17
4,3.0,Broncos,Calvin Jones 43 yard defensive fumble return (Jim Turner kick),7,24
5,3.0,Broncos,Rick Upchurch 47 yard punt return,7,30
6,3.0,Broncos,Haven Moses 36 yard pass from Steve Ramsey (Jim Turner kick),7,37
7,4.0,Browns,Greg Pruitt 8 yard rush,13,37
8,4.0,Broncos,Jim Kiick 12 yard pass from Steve Ramsey (Jim Turner kick),13,44
