,Quarter,Time,Tm,Detail,NYG,PHI
0,1.0,13:26,Eagles,Leonard Weaver 41 yard rush (David Akers kick),0,7
1,1.0,11:15,Eagles,Brent Celek 17 yard pass from Donovan McNabb (David Akers kick failed),0,13
2,2.0,14:51,Eagles,David Akers 30 yard field goal,0,16
3,2.0,1:54,Giants,Kevin Boss 18 yard pass from Eli Manning (Lawrence Tynes kick),7,16
4,2.0,1:38,Eagles,DeSean Jackson 54 yard pass from Donovan McNabb (David Akers kick),7,23
5,2.0,0:46,Eagles,Jeremy Maclin 23 yard pass from Donovan McNabb (David Akers kick),7,30
6,3.0,14:02,Eagles,David Akers 35 yard field goal,7,33
7,3.0,5:09,Giants,Lawrence Tynes 42 yard field goal,10,33
8,3.0,1:03,Giants,Ahmad Bradshaw 1 yard rush (Lawrence Tynes kick),17,33
9,4.0,14:22,Eagles,LeSean McCoy 66 yard rush (David Akers kick),17,40
