,Quarter,Time,Tm,Detail,NWE,MIA
0,1.0,,Patriots,Kevin Turner 1 yard rush (Matt Bahr kick),7,0
1,2.0,,Dolphins,Mark Ingram 64 yard pass from Dan Marino (Pete Stoyanovich kick),7,7
2,2.0,,Patriots,Ben Coates 16 yard pass from Drew Bledsoe (Matt Bahr kick),14,7
3,2.0,,Dolphins,Pete Stoyanovich 42 yard field goal,14,10
4,3.0,,Patriots,Ben Coates 62 yard pass from Drew Bledsoe (Matt Bahr kick),21,10
5,3.0,,Dolphins,Keith Jackson 26 yard pass from Dan Marino (Terry Kirby run),21,18
6,3.0,,Patriots,Michael Timpson 5 yard pass from Drew Bledsoe (Matt Bahr kick),28,18
7,3.0,,Dolphins,Irving Fryar 54 yard pass from Dan Marino (Pete Stoyanovich kick),28,25
8,4.0,,Dolphins,Irving Fryar 50 yard pass from Dan Marino (Pete Stoyanovich kick),28,32
9,4.0,,Patriots,Ray Crittenden 23 yard pass from Drew Bledsoe (Matt Bahr kick),35,32
10,4.0,,Dolphins,Irving Fryar 35 yard pass from Dan Marino (Pete Stoyanovich kick),35,39
