,Quarter,Time,Tm,Detail,KAN,NWE
0,1.0,12:18,Patriots,Adam Vinatieri 48 yard field goal,0,3
1,1.0,8:27,Chiefs,Todd Peterson 42 yard field goal,3,3
2,1.0,1:29,Patriots,Kevin Faulk 1 yard rush (Adam Vinatieri kick),3,10
3,2.0,8:39,Chiefs,Derrick Alexander 81 yard pass from Elvis Grbac (Todd Peterson kick),10,10
4,2.0,2:00,Patriots,Troy Brown 17 yard pass from Drew Bledsoe (Adam Vinatieri kick),10,17
5,2.0,0:00,Patriots,Adam Vinatieri 53 yard field goal,10,20
6,3.0,7:09,Patriots,Jermaine Wiggins 1 yard pass from Drew Bledsoe (Adam Vinatieri kick),10,27
7,4.0,13:43,Chiefs,Tony Gonzalez 4 yard pass from Elvis Grbac (Todd Peterson kick),17,27
8,4.0,7:23,Patriots,Adam Vinatieri 27 yard field goal,17,30
9,4.0,3:58,Chiefs,Kevin Lockett 19 yard pass from Elvis Grbac (Todd Peterson kick),24,30
