,Quarter,Time,Tm,Detail,WAS,PHI
0,1.0,0:00,Redskins,Shaun Suisham 35 yard field goal,3,0
1,2.0,10:45,Eagles,David Akers 24 yard field goal,3,3
2,2.0,7:05,Eagles,David Akers 39 yard field goal,3,6
3,2.0,0:09,Redskins,Chris Cooley 16 yard pass from Jason Campbell (Shaun Suisham kick),10,6
4,3.0,5:47,Redskins,Shaun Suisham 37 yard field goal,13,6
5,3.0,1:15,Eagles,David Akers 26 yard field goal,13,9
6,4.0,12:02,Redskins,Clinton Portis 6 yard rush (Shaun Suisham kick),20,9
7,4.0,6:30,Eagles,David Akers 22 yard field goal,20,12
