,Quarter,Tm,Detail,IND,GNB
0,1.0,Packers,Dale Dawson 22 yard field goal,0,3
1,2.0,Colts,Dean Biasucci 20 yard field goal,3,3
2,2.0,Colts,Dean Biasucci 25 yard field goal,6,3
3,2.0,Colts,Matt Bouza 4 yard pass from Chris Chandler (Dean Biasucci kick),13,3
4,3.0,Colts,Mark Boyer 24 yard pass from Chris Chandler (Dean Biasucci kick),20,3
5,4.0,Packers,Dale Dawson 20 yard field goal,20,6
6,4.0,Packers,Aubrey Matthews 3 yard pass from Don Majkowski (Dale Dawson kick),20,13
