,Quarter,Time,Tm,Detail,CIN,DAL
0,2.0,10:55,Bengals,Neil Rackers 22 yard field goal,3,0
1,2.0,8:40,Cowboys,James McKnight 35 yard pass from Troy Aikman (Tim Seder kick),3,7
2,2.0,4:14,Bengals,Neil Rackers 37 yard field goal,6,7
3,3.0,9:46,Cowboys,Tim Seder 43 yard field goal,6,10
4,3.0,6:22,Cowboys,Tim Seder 1 yard rush (Tim Seder kick),6,17
5,3.0,1:56,Cowboys,Tim Seder 35 yard field goal,6,20
6,4.0,8:49,Cowboys,Tim Seder 42 yard field goal,6,23
