,Quarter,Tm,Detail,CLE,RAM
0,1.0,Rams,Jerome Bettis 1 yard rush (Tony Zendejas kick),0,7
1,1.0,Browns,Tommy Vardell 1 yard rush (Matt Stover kick),7,7
2,2.0,Browns,Keenan McCardell 8 yard pass from Vinny Testaverde (Matt Stover kick),14,7
3,3.0,Browns,Keenan McCardell 28 yard pass from Vinny Testaverde (Matt Stover kick),21,7
4,4.0,Browns,Mark Carrier 56 yard punt return (Matt Stover kick),28,7
5,4.0,Browns,Tommy Vardell 1 yard rush (Matt Stover kick),35,7
6,4.0,Browns,Kevin Mack 1 yard rush (Matt Stover kick),42,7
7,4.0,Rams,Flipper Anderson 23 yard pass from T.J. Rubley (Tony Zendejas kick),42,14
