,Quarter,Tm,Detail,CRD,PIT
0,2,Steelers,George Platukis 45 yard pass from Billy Patterson (Armand Niccolai kick),0,7
1,3,Cardinals,Johnny Hall 44 yard pass from Beryl Clark (Beryl Clark kick),7,7
