,Quarter,Tm,Detail,NYG,SFO
0,1.0,49ers,Dwight Clark 21 yard pass from Joe Montana (Ray Wersching kick),0,7
1,1.0,49ers,Russ Francis 9 yard pass from Joe Montana (Ray Wersching kick),0,14
2,2.0,Giants,Ali Haji-Sheikh 46 yard field goal,3,14
3,2.0,Giants,Harry Carson 14 yard interception return (Ali Haji-Sheikh kick),10,14
4,2.0,49ers,Freddie Solomon 29 yard pass from Joe Montana (Ray Wersching kick),10,21
