,Quarter,Tm,Detail,WAS,SFO
0,1.0,Redskins,Art Monk 31 yard pass from Mark Rypien (Chip Lohmiller kick),7,0
1,1.0,49ers,Tom Rathman 1 yard rush (Mike Cofer kick),7,7
2,1.0,Redskins,Chip Lohmiller 44 yard field goal,10,7
3,2.0,49ers,Jerry Rice 10 yard pass from Joe Montana (Mike Cofer kick),10,14
4,2.0,49ers,Mike Sherrard 8 yard pass from Joe Montana (Mike Cofer kick),10,21
5,4.0,49ers,Michael Carter 61 yard interception return (Mike Cofer kick),10,28
