,Quarter,Tm,Detail,KAN,HOU
0,1,Chiefs,Nick Lowery 28 yard field goal,3,0
1,2,Chiefs,Nick Lowery 51 yard field goal,6,0
2,3,Oilers,Brent Pease 4 yard rush (Tony Zendejas kick),6,7
