,Quarter,Tm,Detail,WAS,NYG
0,1.0,Giants,Earnest Gray 22 yard pass from Phil Simms (Ali Haji-Sheikh kick),0,7
1,1.0,Giants,Joe Morris 2 yard rush (Ali Haji-Sheikh kick),0,14
2,2.0,Giants,Joe Morris 1 yard rush,0,20
3,2.0,Giants,Ali Haji-Sheikh 19 yard field goal,0,23
4,2.0,Redskins,Mark Moseley 23 yard field goal,3,23
5,2.0,Redskins,Mark Moseley 33 yard field goal,6,23
6,3.0,Giants,Joe Morris 5 yard rush (Ali Haji-Sheikh kick),6,30
7,4.0,Giants,Bobby Johnson 8 yard pass from Phil Simms (Ali Haji-Sheikh kick),6,37
8,4.0,Redskins,Jeff Moore 4 yard pass from Joe Theismann (Mark Moseley kick),13,37
