,Quarter,Tm,Detail,KAN,DEN
0,1.0,Chiefs,Theotis Brown 1 yard rush (Nick Lowery kick),7,0
1,2.0,Broncos,Nathan Poole 1 yard rush (Rich Karlis kick),7,7
2,2.0,Broncos,Rich Karlis 31 yard field goal,7,10
3,2.0,Broncos,Steve Watson 46 yard pass from Steve DeBerg (Rich Karlis kick),7,17
4,3.0,Chiefs,Nick Lowery 21 yard field goal,10,17
5,3.0,Broncos,Rich Karlis 27 yard field goal,10,20
6,4.0,Broncos,Nathan Poole 1 yard rush (Rich Karlis kick),10,27
7,4.0,Chiefs,Billy Jackson 9 yard rush (Nick Lowery kick),17,27
8,4.0,Chiefs,Carlos Carson 8 yard pass from Bill Kenney (Nick Lowery kick),24,27
