,Quarter,Time,Tm,Detail,PIT,BAL
0,1.0,3:48,Steelers,Kris Brown 22 yard field goal,3,0
1,2.0,14:50,Ravens,Elvis Grbac 2 yard rush (Matt Stover kick),3,7
2,2.0,9:29,Steelers,Kris Brown 33 yard field goal,6,7
3,2.0,1:52,Steelers,Plaxico Burress 25 yard pass from Kordell Stewart (Kris Brown kick),13,7
4,4.0,8:53,Steelers,Bobby Shaw 90 yard pass from Kordell Stewart (pass failed),19,7
5,4.0,6:36,Ravens,Qadry Ismail 14 yard pass from Elvis Grbac (Matt Stover kick),19,14
6,4.0,3:05,Steelers,Dan Kreider 4 yard rush (Kris Brown kick),26,14
7,4.0,1:14,Ravens,Brandon Stokley 5 yard pass from Elvis Grbac (Matt Stover kick),26,21
