,Quarter,Tm,Detail,BKN,BOS
0,1,Yanks,Bob Davis 4 yard rush,0,6
1,4,Yanks,Keith Ranspot 25 yard pass from George Cafego (Augie Lio kick),0,13
2,3,Tigers,Pug Manders 14 yard rush,6,13
