,Quarter,Tm,Detail,CLE,DAL
0,1.0,Cowboys,Craig Baynham 3 yard pass from Don Meredith (Danny Villanueva kick),0,7
1,1.0,Cowboys,Don Perkins 4 yard rush (Danny Villanueva kick),0,14
2,2.0,Cowboys,Bob Hayes 86 yard pass from Don Meredith (Danny Villanueva kick),0,21
3,2.0,Cowboys,Danny Villanueva 10 yard field goal,0,24
4,2.0,Browns,Milt Morin 13 yard pass from Frank Ryan (Lou Groza kick),7,24
5,3.0,Cowboys,Craig Baynham 1 yard rush (Danny Villanueva kick),7,31
6,3.0,Cowboys,Don Perkins 1 yard rush (Danny Villanueva kick),7,38
7,3.0,Cowboys,Cornell Green 60 yard interception return (Danny Villanueva kick),7,45
8,4.0,Cowboys,Craig Baynham 1 yard rush (Danny Villanueva kick),7,52
9,4.0,Browns,Paul Warfield 75 yard pass from Frank Ryan (Lou Groza kick),14,52
