,Quarter,Time,Tm,Detail,HOU,TAM
0,1.0,14:19,Texans,Bradley Roby 27 yard interception return (Ka'imi Fairbairn kick),7,0
1,1.0,11:34,Texans,Ka'imi Fairbairn 32 yard field goal,10,0
2,1.0,1:01,Buccaneers,Matt Gay 50 yard field goal,10,3
3,2.0,9:25,Texans,Carlos Hyde 1 yard rush (Ka'imi Fairbairn kick),17,3
4,2.0,2:00,Buccaneers,Ronald Jones II 4 yard rush (Matt Gay kick),17,10
5,2.0,0:20,Buccaneers,Justin Watson 8 yard pass from Jameis Winston (Matt Gay kick),17,17
6,3.0,9:33,Texans,Ka'imi Fairbairn 25 yard field goal,20,17
7,3.0,1:18,Buccaneers,Matt Gay 41 yard field goal,20,20
8,4.0,7:16,Texans,Ka'imi Fairbairn 37 yard field goal,23,20
