,Quarter,Tm,Detail,COL,OOR
0,2.0,Indians,Joe Guyon 10 yard rush (Joe Guyon kick),0,7
1,3.0,Panhandles,Emmett Ruh 3 yard rush,6,7
2,4.0,Indians,8 yard rush (Joe Guyon kick),6,14
3,4.0,Indians,Joe Guyon 55 yard rush,6,20
