,Quarter,Tm,Detail,CRD,CIN
0,1.0,Cardinals,Mike Mikulak 9 yard rush (Dave Cook kick),7,0
1,3.0,Cardinals,Bill Smith 5 yard rush,13,0
2,3.0,Cardinals,Paul Pardonner 25 yard field goal,16,0
