,Quarter,Time,Tm,Detail,BUF,MIN
0,1.0,2:27,Vikings,Gary Anderson 38 yard field goal,0,3
1,2.0,13:38,Bills,Eric Moulds 25 yard pass from Doug Flutie (Steve Christie kick),7,3
2,2.0,0:54,Bills,Steve Christie 25 yard field goal,10,3
3,2.0,0:00,Vikings,Gary Anderson 20 yard field goal,10,6
4,3.0,9:17,Vikings,Cris Carter 6 yard pass from Daunte Culpepper (Gary Anderson kick),10,13
5,3.0,1:13,Bills,Sammy Morris 1 yard rush (Steve Christie kick),17,13
6,4.0,14:19,Bills,Sammy Morris 18 yard pass from Doug Flutie (Steve Christie kick),24,13
7,4.0,9:34,Vikings,Cris Carter 11 yard pass from Daunte Culpepper (Moe Williams pass from Daunte Culpepper),24,21
8,4.0,6:39,Bills,Steve Christie 48 yard field goal,27,21
9,4.0,3:42,Vikings,Randy Moss 39 yard pass from Daunte Culpepper (Gary Anderson kick),27,28
10,4.0,1:04,Vikings,Gary Anderson 21 yard field goal,27,31
