,Quarter,Tm,Detail,NYG,PHO
0,1.0,Giants,Jeff Hostetler 19 yard rush (Raul Allegre kick),7,0
1,1.0,Cardinals,Al Del Greco 37 yard field goal,7,3
2,2.0,Giants,Stephen Baker 35 yard pass from Jeff Hostetler (Raul Allegre kick),14,3
3,3.0,Cardinals,Gary Hogeboom 5 yard rush (Al Del Greco kick),14,10
4,3.0,Giants,Jeff Hostetler 3 yard rush,20,10
5,4.0,Cardinals,Al Del Greco 46 yard field goal,20,13
