,Quarter,Tm,Detail,PHI,PIT
0,1.0,Steelers,Lou Michaels 14 yard field goal,0,3
1,1.0,Steelers,Bob Schmitz 24 yard interception return (Lou Michaels kick),0,10
2,2.0,Steelers,Lou Michaels 10 yard field goal,0,13
3,3.0,Eagles,Tommy McDonald 46 yard pass from Sonny Jurgensen (Bobby Walston kick),7,13
