,Quarter,Tm,Detail,GNB,ATL
0,1.0,Falcons,Gene Lang 45 yard pass from Chris Miller (Greg Davis kick),0,7
1,2.0,Falcons,John Settle 1 yard rush (Greg Davis kick),0,14
2,2.0,Falcons,Greg Davis 52 yard field goal,0,17
3,4.0,Falcons,Greg Davis 43 yard field goal,0,20
