,Quarter,Tm,Detail,CLE,SEA
0,1.0,Seahawks,Norm Johnson 51 yard field goal,0,3
1,1.0,Browns,Matt Bahr 27 yard field goal,3,3
2,2.0,Seahawks,Dan Ross 4 yard pass from Dave Krieg (Norm Johnson kick),3,10
3,2.0,Seahawks,Daryl Turner 8 yard pass from Dave Krieg (Norm Johnson kick),3,17
4,3.0,Browns,Matt Bahr 32 yard field goal,6,17
5,3.0,Seahawks,Daryl Turner 15 yard pass from Dave Krieg (Norm Johnson kick),6,24
6,4.0,Seahawks,Steve Largent 9 yard pass from Dave Krieg (Norm Johnson kick),6,31
7,4.0,Browns,Glen Young 45 yard pass from Bernie Kosar (Matt Bahr kick),13,31
