,Quarter,Tm,Detail,DAL,SFO
0,1.0,Cowboys,Frank Clarke 15 yard pass from Don Meredith (Sam Baker kick),7,0
1,1.0,49ers,Don Lisbon 27 yard pass from Lamar McHan (Tommy Davis kick),7,7
2,2.0,Cowboys,Frank Clarke 24 yard pass from Don Meredith (Sam Baker kick),14,7
3,2.0,Cowboys,Billy Howton 15 yard pass from Don Meredith (Sam Baker kick),21,7
4,2.0,49ers,Tommy Davis 32 yard field goal,21,10
5,3.0,49ers,J.D. Smith 1 yard rush (Tommy Davis kick),21,17
6,3.0,49ers,Don Lisbon 46 yard pass from Lamar McHan (Tommy Davis kick),21,24
7,4.0,49ers,Bernie Casey 20 yard pass from Lamar McHan (Tommy Davis kick),21,31
8,4.0,Cowboys,Sam Baker 24 yard field goal,24,31
