,Quarter,Tm,Detail,DEN,KAN
0,1,Broncos,Riley Odoms 42 yard pass from Craig Morton (Jim Turner kick),7,0
1,1,Chiefs,Mike Livingston 1 yard rush (Jan Stenerud kick),7,7
2,2,Broncos,Jim Turner 42 yard field goal,10,7
3,2,Chiefs,Jan Stenerud 46 yard field goal,10,10
4,3,Chiefs,Tony Reed 15 yard rush (Jan Stenerud kick),10,17
5,3,Broncos,Larry Canada 3 yard rush (Jim Turner kick),17,17
6,OT,Broncos,Dave Preston 1 yard rush,23,17
