,Quarter,Tm,Detail,STL,DAL
0,2,Cardinals,Jim Bakken 28 yard field goal,3,0
1,2,Cowboys,Jean Fugett 1 yard pass from Roger Staubach (Toni Fritsch kick),3,7
2,3,Cowboys,Drew Pearson 12 yard pass from Roger Staubach (Toni Fritsch kick),3,14
3,3,Cardinals,Mel Gray 23 yard pass from Jim Hart (Jim Bakken kick),10,14
4,3,Cowboys,Charley Young 1 yard rush (Toni Fritsch kick),10,21
5,3,Cardinals,Earl Thomas 80 yard pass from Jim Hart (Jim Bakken kick),17,21
6,3,Cowboys,Thomas Henderson 97 yard kickoff return (Toni Fritsch kick),17,28
7,4,Cowboys,Toni Fritsch 40 yard field goal,17,31
8,4,Cardinals,Jackie Smith 35 yard pass from Jim Hart (Jim Bakken kick),24,31
9,4,Cardinals,Mel Gray 37 yard pass from Jim Hart (Jim Bakken kick),31,31
10,OT,Cowboys,Billy Joe DuPree 3 yard pass from Roger Staubach,31,37
