,Quarter,Time,Tm,Detail,JAX,TEN
0,1.0,7:24,Titans,Michael Roan 4 yard pass from Steve McNair (Al Del Greco kick),0,7
1,2.0,14:46,Titans,Jackie Harris 62 yard pass from Steve McNair (Al Del Greco kick),0,14
2,2.0,8:56,Titans,Al Del Greco 30 yard field goal,0,17
3,2.0,2:54,Jaguars,Fred Taylor 1 yard rush (Mike Hollis kick),7,17
4,2.0,0:25,Titans,Yancey Thigpen 2 yard pass from Steve McNair (Al Del Greco kick),7,24
5,3.0,7:07,Titans,Isaac Byrd 65 yard pass from Steve McNair (Al Del Greco kick),7,31
6,3.0,3:24,Titans,Kevin Dyson 13 yard pass from Steve McNair (Al Del Greco kick),7,38
7,3.0,3:06,Jaguars,Alvis Whitted 98 yard kickoff return (Mike Hollis kick),14,38
8,4.0,11:20,Titans,Al Del Greco 20 yard field goal,14,41
