,Quarter,Tm,Detail,STL,GNB
0,1.0,Cardinals,Neil O'Donoghue 18 yard field goal,3,0
1,1.0,Packers,John Jefferson 60 yard pass from Lynn Dickey (Jan Stenerud kick),3,7
2,2.0,Packers,James Lofton 20 yard pass from Lynn Dickey (Jan Stenerud kick),3,14
3,2.0,Packers,Eddie Lee Ivery 2 yard rush (Jan Stenerud kick),3,21
4,2.0,Packers,Eddie Lee Ivery 4 yard pass from Lynn Dickey (Jan Stenerud kick),3,28
5,2.0,Cardinals,Pat Tilley 5 yard pass from Neil Lomax,9,28
6,3.0,Packers,Jan Stenerud 46 yard field goal,9,31
7,3.0,Packers,John Jefferson 7 yard pass from Lynn Dickey (Jan Stenerud kick),9,38
8,4.0,Packers,Jan Stenerud 34 yard field goal,9,41
9,4.0,Cardinals,Mike Shumann 18 yard pass from Neil Lomax (Neil O'Donoghue kick),16,41
