,Quarter,Tm,Detail,COL,RAC
0,1.0,Legion,Chuck Dressen 10 yard rush (Hank Gillo kick),0,7
1,1.0,Legion,Hank Gillo unknown yard rush,0,13
2,3.0,Legion,Hank Gillo unknown yard rush (extra point pass successful),0,20
3,4.0,Legion,Hank Gillo 1 yard rush (Hank Gillo kick),0,27
4,4.0,Legion,Bob Foster 1 yard rush (Jab Murray kick),0,34
